abandon,[əˈbændən],"(1)v. to leave and never return to 放弃
(2)v. to give over unrestrainedly 放纵","desert, relinquish"
abet,[ə'bet],v. to actively second and encourage ⽀支持，怂恿,instigate
abound,[əˈbaʊnd],v. to be present in large numbers or in great quantity 充满,proliferate
absorbing,[əbˈsɔ:bɪŋ],adj. fully taking one’s attention 吸引⼈人的,
abstemious,[əbˈsti:miəs],adj. not eating and drinking too much 有节制的,"austere, moderate"
abuse,[əˈbju:s],"(1)v. to treat in a harsh or harmful way 虐待
(2)v. to use wrongly 误⽤用
(3)n. a corrupt practice or custom 恶习",misuse
acclaim,[əˈkleɪm],v. to praise in a very strong and enthusiastic way 称赞,hail
accommodate,[ə'kɒmədeɪt],"(1)v. to make fit, suitable, or congruous 适应
(2)v. to make room for 容纳",
acknowledge,[əkˈnɒlɪdʒ],(1)v. to say that you accept or do not deny the truth or existence of  承认 (2)v. to regard or describe (someone or something as having or deserving a particular status 感激,concede
acute,[ə'kjut],"(1)adj. keenly perceptive or discerning 敏敏锐的
(2)adj. extremely sharp or severe 严峻的","incisive, severe"
adhere,[əd'hɪə],v. to give support or maintain loyalty 遵守,
adulation,[ˌædjuˈleɪʃn],n. excessive or slavish admiration or flattery 谄媚,"approbation, sycophant"
adversarial,[ˌædvəˈseəriəl],adj. involving two people or two sides who oppose each other 对⽴立的,antagonistic
aesthetic,[i:sˈθetɪk],"(1)adj. of or relating to art or beauty 审美的
(2)adj. pleasing in appearance 美观的",
affiliate,[ə'fɪlɪet],"(1)v. to associate as a member 接纳，使附属
(2)n. an organization that is a member of a larger organization 分⽀支机构",
agreeable,[əˈɡriəbəl],"(1)adj. pleasing to the mind or senses 令⼈人愉悦的
(2)adj. able to be accepted 合适的，可被接受的",excellent
alacrity,[əˈlækrəti],n. a quick and cheerful readiness to do something 乐意,
alleviate,[ə'livɪ'et],"v. to make less painful, difficult, or severe 减轻",mitigate
allure,[əˈlʊə],"(1)v. to entice by charm or attraction 引诱
(2)n. power to attract 魅⼒力力",charm
ameliorate,[ə'milɪə'ret],v. to make better or more tolerable 改善,
anathema,[əˈnæθəmə],n. someone or something that is very strongly disliked ⾮非常讨厌的⼈人或物,
animadversion,[ˌænɪmæd'vɜ:ʃən],n. a critical and usually censorious remark 批评,
annihilate,[ə'naɪəlet],v. to destroy completely 消灭，毁灭,destroy
anonymous,[əˈnɒnɪməs],"(1)adj. not named or identified ⽆无名的，匿匿名的
(2)adj. lacking individuality, distinction, or recognizability ⽆无个性的",obscure
antagonistic,[ænˌtægəˈnɪstɪk],adj. showing dislike or opposition 敌对的,"adversarial, inimical"
antediluvian,[ˌæntidɪˈlu:viən],adj. very old or old-fashioned 过时的,archaic
anthropogenic,[ˌænθrəpə'dʒnɪk],"adj. of, relating to, or resulting from the influence of human beings on nature ⼈人为的",
anticipate,[ænˈtɪsɪpeɪt],"(1)v. to think of (something that will or might happen in the future) 预期
(2)v. to do something before someone else 先于某⼈人做某事","prefigure, foresee"
antidote,[ˈæntidoʊt],n. a remedy to counteract the effects of poison 解药,
apocryphal,[əˈpɒkrɪfl],adj. of doubtful authenticity 虚假的,
apposite,[ˈæpəzɪt],adj. very appropriate 合适的,"fitting, germane"
appreciate,[ə'priʃɪet],"(1)v. to be grateful for 感激
(2)v. to understand the worth or importance of 理理解",
apprehend,[ˌæprɪˈhend],"(1)v. to grasp with the understanding 理理解
(2)v. to anticipate especially with anxiety, dread, or fear 担忧
(3)v. arrest, seize 逮捕",
appropriate,[əˈprəʊpriət],"(1)v. to take or use especially in a way that is illegal, unfair, etc. 挪⽤用
(2)adj. right or suited for some purpose or situation 合适的",borrow
arbitrary,[ˈɑːrbətreri],adj. not based on reason or evidence 随意的，武断的,capricious
arcane,[ɑ:ˈkeɪn],adj. secret or mysterious 难懂的,"esoteric, recondite, abstruse"
archaic,[ɑ:ˈkeɪɪk],adj. of or relating to ancient times 古⽼老老的,"antediluvian, outdated"
arrest,[əˈrest],"(1)v. to use the power of the law to take and keep 逮捕
(2)v. to stop the progress or movement of 阻⽌止
(3)v. to attract and hold the attention of 吸引",
artless,['ɑ:tlɪs],"(1)adj. not false or artificial 纯真的
(2)adj. lacking art, knowledge, or skill 朴素的",simplistic
ascetic,[əˈsetɪk],adj. relating to having a strict and simple way of living that avoids physical pleasure 苦⾏行行的,
assuage,[əˈswedʒ],v. to lessen the intensity of 减轻，缓和,
audacious,[ɔ'deʃəs],adj. very confident and daring ⼤大胆的,striking
augment,[ɔ:gˈment],"v. to make greater, more numerous, larger, or more intense 增加","extend, expand, enhance"
auspicious,[ɔ:ˈspɪʃəs],adj. showing or suggesting that future success is likely 有望成功的,favorable
austere,[ɔ'stɪr],adj. simple or plain 朴素的,
avaricious,[ˌævə'rɪʃəs],adj. excessively acquisitive especially in seeking to hoard riches 贪婪的,rapacious
avert,[əˈvɜ:t],"(1)v. to turn away or aside 转移
(2)v. to prevent from happening 防⽌止",forestall
baffle,['bæfl],v. to confuse completely 使困惑,
balloon,[bə'lun],v. to become bigger quickly 激增,
baneful,[ˈbeɪnfl],adj. causing destructive or serious damage 有害的,
banish,['bænɪʃ],v. to send away 驱逐,"expel, oust"
beholden,[bɪ'holdən],adj. being under obligation for a favor or gift ⽋欠…⼈人情的,indebted
belabor,[bɪ'lebə],"(1)v. to repeat or stress too much or too often 过分强调
(2)v. to attack or criticize 抨击",overemphasize
belligerent,[bi'lidʒərənt],adj. feeling or showing readiness to fight 好战的,pugnacious
bemoan,[bɪˈməʊn],v. to complain about 埋怨,
benign,[bɪ'naɪn],adj. showing kindness and gentleness 和善的,"innocuous, anodyne"
betoken,[bɪˈtəʊkən],v. to show 表示,signify
bland,[blænd],"(1)adj. not interesting or exciting 乏味的
(2)adj. showing no emotion, concern, etc. ⽆无动于衷的",insipid
blunt,[blʌnt],"(1)adj. having a thick edge or point 钝的
(2)adj. being straight to the point 直⾔言不不讳的",
boast,[bəʊst],"n. a statement in which you express too much pride in yourself or in something you have, have done, or are connected to in some way 吹嘘，⾃自夸",brandish
bogus,['bogəs],adj. not real or genuine 伪造的,
bolster,[ˈbəʊlstə],v. to give support to ⽀支持,"buttress, prop up"
bookish,['bʊkɪʃ],adj. more interested in reading books and studying than doing more physical activities 书呆⼦子⽓气的,
brandish,['brændɪʃ],v. to exhibit in a ostentatious or aggressive manner 炫耀,boast
bucolic,[bju:ˈkɒlɪk],adj. of or relating to the country or country life 乡村的,pastoral
budding,[ˈbʌdɪŋ],adj. being in an early stage of development 萌芽期的,nascent
buoy,[bɔɪ],v. to cause to feel happy or confident 使振奋,help
burgeon,['bɜːdʒən],v. to grow or develop quickly 迅速⽣生⻓长,"expand, flourish"
callous,[ˈkæləs],adj. not feeling or showing any concern about the problems or suffering of other people 冷酷⽆无情的,heartless
callow,[ˈkæləʊ],adj. lacking adult sophistication 不不成熟的,
calumny,[ˈkæləmni],n. an untrue statement that is made to damage someone’s reputation 诽谤,defamation
camaraderie,[ˌkæməˈrɑ:dəri],n. a feeling of good friendship among the people in a group 情谊，友情,solidarity
captivate,[ˈkæptɪveɪt],"v. to attract and hold the attention of by being interesting, pretty, etc. 迷住",enamor
caricature,['kærɪkətjʊə],n. someone or something that is very exaggerated in a funny or foolish way 夸张的描述,
caterwaul,[ˈkætəwɔ:l],v. to make a very loud and unpleasant sound 发出让⼈人不不爽的噪⾳音,shriek
censure,[ˈsenʃə],n. official strong criticism 谴责,reprehend
chagrin,[ˈʃægrɪn],n. a feeling of being frustrated or annoyed because of failure or disappointment 失望,vexation
champion,[ˈtʃæmpiən],v. to fight or speak publicly in support of ⽀支持,"defend, espouse, support"
chastise,[tʃæˈstaɪz],v. to criticize harshly for doing something wrong 严厉批评,castigate
check,[tʃek],n. a sudden stoppage of a forward course or progress 阻⽌止,stem
chic,[ʃi:k],adj. following the current fashion or style 时髦的,elegant
circuitous,[səˈkju:ɪtəs],"adj. not straight, short, and direct 拐弯抹⻆角的",indirect
circumscribe,[ˈsɜ:kəmskraɪb],v. to limit the size or amount of 限制,"confine, limit"
circumspect,[ˈsɜ:kəmspekt],adj. thinking carefully about possible risks before doing or saying something 谨慎的,"prudent, chary, cautious"
circumvent,[ˌsɜ:kəmˈvent],v. to avoid being stopped by 避开,"bypass, sidestep, skirt"
clandestine,[klænˈdestɪn],"adj. marked by, held in, or conducted with secrecy 秘密的","covert, surreptitious"
cloak,[klok],v. to hide or disguise 掩盖,
clumsy,[ˈklʌmzi],adj. awkward or inefficient in use or construction 笨拙的,
cluster,[ˈklʌstə],v. to come together to form a group 聚集,
