0,chastise,v.,谴责
1,compunction,n.,"后悔感, 犯罪感"
2,derivative,adj.,非原创的
3,disdain,v.,"蔑视, 鄙视"
4,elude,v.,"逃跑, 逃避"
5,fleeting,adj.,短暂的
6,glean,v.,慢慢收集
7,indispensable,adj.,不可缺少的
8,malady,n.,疾病
9,manipulate,v.,操控
10,misuse,v.,不公平地对待
11,mitigate,v.,减缓
12,objective,adj.,客观的
13,obviate,v.,免除
14,ominous,adj.,不吉利的
15,patent,adj.,明显的
16,pervasive,adj.,普遍的
17,pessimistic,adj.,悲观的
18,proclivity,n.,"倾向, 偏好"
19,prosaic,adj.,普通寻常的
20,rationale,n.,理由
21,stale,adj.,不新鲜的
22,volatile,adj.,性格多变的
23,wondrous,adj.,奇异的
24,abound,v.,"富于, 充满"
25,clumsy,adj.,笨拙的
26,concoct,v.,"编造, 捏造"
27,detached,adj.,"不受感情影响的, 公正的"
28,exacting,adj.,要求高的
29,exhaustive,adj.,全面的
30,figurative,adj.,（形象化）比喻的
31,futile,adj.,无用的
32,kinfolk,n.,亲戚
33,layperson,n.,外行
34,list,n.,倾斜
35,rampant,adj.,广泛的
36,sartorial,adj.,与衣服相关的
37,slight,v.,轻视
38,sycophantic,adj.,奉承的
39,thrill,v.,使...兴奋
40,undo,v.,撤销
41,ascetic,adj.,生活朴素的
42,belabor,v.,批评
43,caricature,n.,讽刺画
44,commensurate,adj.,"相等的, 相似的"
45,dismantle,v.,拆开
46,elate,v. ,"使兴奋, 使高兴"
47,enigmatic,adj.,难懂的
48,entangle,v.,纠缠
49,gregarious,v.,群居的，好交际的
50,impassioned,adj.,充满激情的
51,impotent,adj.,"无力的, 无效的"
52,laborious,adj.,费力的
53,obliterate,v.,"抹去, 使...消失"
54,peculiar,adj.,不寻常的
55,prolix,adj.,冗长的
56,repudiate,v.,"否认, 拒绝"
57,unremitting,adj.,"坚持不懈的，不间断的
"
58,benign,adj.,无害的
59,censure,v.,指责
60,corroborate,v.,"佐证, 提供证据证明"
61,emblematic,adj.,"象征的, 代表的"
62,erstwhile,adv.,过去地
63,forbear,v.,"克制, 忍耐"
64,hail,n.,欢呼，赞美
65,high-minded,adj.,高尚的
66,malleable,adj.,易适应的，能适应的
67,obeisance,n.,"尊敬, 敬意"
68,precocious,adj.,早熟的
69,prodigious,adj., 惊人的
70,provisional,adj.,临时的
71,supplicate,v.,恳求
72,tumultuous,adj.,混乱的
